,matchLink,matchId,teamA,teamB,kefA,kefb,win
139,https://www.hltv.org/matches/2322186/grayhound-vs-mvp-pk-esl-pro-league-season-7-asia-pacific,2322186,8008,7354,2.24,1.61,1
140,https://www.hltv.org/matches/2322022/natus-vincere-vs-gambit-dreamhack-masters-marseille-2018,2322022,4608,6651,1.37,2.92,0
141,https://www.hltv.org/matches/2322023/astralis-vs-fnatic-dreamhack-masters-marseille-2018,2322023,6665,4991,1.35,3.04,0
142,https://www.hltv.org/matches/2322238/alternate-attax-vs-euronics-99damage-league-season-8,2322238,4501,6343,1.82,1.92,0
143,https://www.hltv.org/matches/2322024/natus-vincere-vs-astralis-dreamhack-masters-marseille-2018,2322024,4608,6665,2.3,1.59,1
144,https://www.hltv.org/matches/2321762/w7m-vs-wild-esl-latin-america-league-season-1,2321762,8574,8895,1.75,1.96,0
145,https://www.hltv.org/matches/2322240/alternate-attax-vs-euronics-99damage-league-season-8,2322240,4501,6343,1.31,3.24,1
146,https://www.hltv.org/matches/2321872/wild-vs-w7m-esl-latin-america-league-season-1,2321872,8895,8574,2.11,1.64,1
147,https://www.hltv.org/matches/2322241/goodjob-vs-hollywood-starseries-i-league-season-5-cis-qualifier,2322241,7820,8847,1.98,1.77,0
148,https://www.hltv.org/matches/2321761/isurus-vs-sharks-esl-latin-america-league-season-1,2321761,7653,8113,1.69,2.04,1
149,https://www.hltv.org/matches/2321871/sharks-vs-isurus-esl-latin-america-league-season-1,2321871,8113,7653,1.77,3.03,1
150,https://www.hltv.org/matches/2321757/furious-vs-wild-esl-latin-america-league-season-1,2321757,6799,8895,2.13,1.65,1
151,https://www.hltv.org/matches/2321867/wild-vs-furious-esl-latin-america-league-season-1,2321867,8895,6799,1.68,2.07,0
152,https://www.hltv.org/matches/2321756/furia-vs-w7m-esl-latin-america-league-season-1,2321756,8297,8574,1.15,4.64,0
153,https://www.hltv.org/matches/2321866/w7m-vs-furia-esl-latin-america-league-season-1,2321866,8574,8297,6.21,1.12,1
154,https://www.hltv.org/matches/2322243/splyce-vs-swole-patrol-starseries-i-league-season-5-north-america-qualifier,2322243,6301,7726,1.44,2.67,1
155,https://www.hltv.org/matches/2322169/bravado-vs-fam143-esea-main-season-27-north-america,2322169,5158,8815,1.21,4.21,0
156,https://www.hltv.org/matches/2322028/quantum-bellator-fire-vs-kinguin-fusionbet-masters,2322028,7367,6134,2.56,1.47,0
157,https://www.hltv.org/matches/2322204/avangar-vs-enyoy-gocase-challenge,2322204,8120,8721,1.44,2.61,1
158,https://www.hltv.org/matches/2322205/vexed-vs-gameagents-gocase-challenge,2322205,6375,6652,1.6,2.38,1
159,https://www.hltv.org/matches/2322115/kinguin-vs-red-reserve-fusionbet-masters,2322115,6134,7613,1.39,2.83,1
160,https://www.hltv.org/matches/2322206/syman-vs-euronics-gocase-challenge,2322206,8772,6343,5.7,1.11,1
161,https://www.hltv.org/matches/2322216/windigo-vs-imperial-forcedropnet-cup-1,2322216,8513,7701,2.23,1.6,1
162,https://www.hltv.org/matches/2322207/noreg-vs-x-kom-gocase-challenge,2322207,8473,8846,1.66,2.11,1
163,https://www.hltv.org/matches/2322208/burning-blades-vs-deepdarkdanger-gocase-challenge,2322208,9029,8462,1.82,1.91,1
164,https://www.hltv.org/matches/2322209/ldlc-vs-nexus-gocase-challenge,2322209,4674,7187,1.45,2.59,0
165,https://www.hltv.org/matches/2322210/izako-boars-vs-x6tence-gocase-challenge,2322210,7681,4468,1.43,2.62,0
166,https://www.hltv.org/matches/2322217/royal-bandits-vs-nexus-gfinity-winter-series-2018-europe,2322217,8263,7187,2.12,1.66,0
167,https://www.hltv.org/matches/2322211/fnatic-academy-vs-singularity-gocase-challenge,2322211,7169,6978,2.52,1.48,0
168,https://www.hltv.org/matches/2322030/bulldozer-vs-isurus-esl-brazil-premier-league-season-5,2322030,9013,7653,3.74,1.24,0
169,https://www.hltv.org/matches/2322031/isurus-vs-bulldozer-esl-brazil-premier-league-season-5,2322031,7653,9013,6.4,2.4,0
170,https://www.hltv.org/matches/2322032/csbl-vs-furia-esl-brazil-premier-league-season-5,2322032,8900,8297,5.71,1.1,1
171,https://www.hltv.org/matches/2322278/nrg-vs-swole-patrol-starseries-i-league-season-5-north-america-qualifier,2322278,6673,7726,1.11,6.15,0
172,https://www.hltv.org/matches/2322033/furia-vs-csbl-esl-brazil-premier-league-season-5,2322033,8297,8900,1.11,5.82,0
173,https://www.hltv.org/matches/2322200/yeah-vs-furious-alienware-liga-pro-gamers-club-apr-18,2322200,8728,6799,1.11,6.15,0
174,https://www.hltv.org/matches/2322201/ex-no-limits-vs-c4-alienware-liga-pro-gamers-club-apr-18,2322201,8899,8051,1.36,3.07,1
175,https://www.hltv.org/matches/2322219/furia-academy-vs-neo-blue-alienware-liga-pro-gamers-club-apr-18,2322219,8885,9039,1.68,2.11,1
176,https://www.hltv.org/matches/2322279/luminosity-vs-rogue-starseries-i-league-season-5-north-america-qualifier,2322279,6290,7157,1.77,1.99,0
177,https://www.hltv.org/matches/2322218/avalanche-vs-furia-alienware-liga-pro-gamers-club-apr-18,2322218,8751,8297,8.95,1.05,1
178,https://www.hltv.org/matches/2322263/ago-vs-imperial-qi-invitational,2322263,8068,7701,1.62,2.21,0
179,https://www.hltv.org/matches/2322264/godsent-vs-5power-qi-invitational,2322264,6902,7092,1.08,6.67,0
180,https://www.hltv.org/matches/2322268/imperial-vs-5power-qi-invitational,2322268,7701,7092,1.12,5.29,0
181,https://www.hltv.org/matches/2322285/vexed-vs-syman-gocase-challenge,2322285,6375,8772,1.22,3.73,1
182,https://www.hltv.org/matches/2322286/enyoy-vs-ldlc-gocase-challenge,2322286,8721,4674,1.92,1.82,1
183,https://www.hltv.org/matches/2322287/gameagents-vs-avangar-gocase-challenge,2322287,6652,8120,2.9,1.37,1
184,https://www.hltv.org/matches/2322269/godsent-vs-imperial-qi-invitational,2322269,6902,7701,1.62,2.21,0
185,https://www.hltv.org/matches/2319917/envy-vs-heroic-esl-pro-league-season-7-europe,2319917,5991,7175,2.0,1.77,1
186,https://www.hltv.org/matches/2319919/heroic-vs-envy-esl-pro-league-season-7-europe,2319919,7175,5991,1.53,4.23,0
187,https://www.hltv.org/matches/2322228/astralis-vs-g2-ecs-season-5-europe,2322228,6665,5995,1.42,2.73,0
