,matchId,teamAId,teamBId,kefsA,kefsB
2453,2324952,8846,8504,1.85,1.92
2454,2325058,8008,7517,1.46,2.58
2455,2324953,8263,7169,2.77,1.42
2456,2325073,7936,9220,2.8,1.56
2457,2325134,8772,7969,2.33,1.58
2458,2325118,4869,7169,1.16,4.88
2459,2325074,9221,6619,2.93,1.39
2460,2325119,7898,8637,3.76,1.26
2461,2325135,9183,8305,1.41,2.86
2462,2325140,9220,9221,2.23,1.65
2463,2324814,6665,5973,1.45,3.47
2464,2325120,8305,6343,4.65,1.19
2465,2325142,7936,6619,2.95,1.51
2466,2325136,8772,8305,2.46,1.58
2467,2325147,9220,7936,1.41,3.43
2468,2325148,6619,7936,1.51,2.95
2469,2325075,7516,8121,2.31,1.61
2470,2325133,8051,7830,4.59,1.18
2471,2325137,8846,8263,1.5,2.64
2472,2325138,8504,7169,2.02,1.76
2473,2325146,7701,6118,1.48,2.61
2474,2325149,8751,9128,1.51,2.52
2475,2325034,7720,8999,2.35,1.57
2476,2325035,9003,9278,1.43,2.76
2477,2325170,8263,7169,2.58,1.49
2478,2325164,6762,4469,1.61,2.27
2479,2325166,6855,9183,1.31,3.37
2480,2325168,9193,8846,3.52,1.29
2481,2325165,8513,8637,1.86,1.94
2482,2325173,6293,6569,3.86,1.21
2483,2324226,8751,8902,2.41,1.54
2484,2324227,7830,6619,1.25,3.83
2485,2325038,6947,9279,1.05,9.03
2486,2325040,9229,7621,1.44,2.74
2487,2325041,6366,9187,1.92,1.87
2488,2325039,8084,7882,2.43,1.52
2489,2325036,9280,9087,2.4,1.54
2490,2325037,8545,9277,1.47,2.59
2491,2325151,6673,7092,1.13,6.03
2492,2325152,5310,5378,1.53,2.45
2493,2325153,6651,7567,1.24,3.76
2494,2325189,9193,4469,2.85,1.41
2495,2325203,8826,9273,1.31,3.22
2496,2325156,7567,4863,3.93,1.24
2497,2324955,8369,5946,1.3,3.48
2498,2325204,9273,8826,2.2,3.8
2499,2324954,8248,7234,1.57,2.38
2500,2325176,9055,9182,2.81,1.42
2501,2325181,9193,8305,2.1,1.7
2502,2325169,8020,7489,2.13,1.69
2503,2325182,7017,7820,2.35,1.57
2504,2325185,6343,8846,1.47,2.62
2505,2325183,7472,9055,1.64,2.21
2506,2325186,8846,4688,1.98,1.79
2507,2325177,9055,7820,4.23,1.22
2508,2325179,8193,8732,1.72,2.07
2509,2325188,7234,4469,2.24,1.62
2510,2325197,7613,8637,1.58,2.34
2511,2325190,6343,8769,1.59,2.25
2512,2325180,5153,9286,1.14,4.95
2513,2325167,8135,6343,2.5,1.52
2514,2325191,8846,8769,1.76,2.02
2515,2325067,7830,8885,1.25,3.71
2516,2325144,8051,9013,1.21,4.22
2517,2325198,8728,8121,1.41,2.83
2518,2325157,7092,5378,3.1,1.35
2519,2325158,6651,8008,1.61,2.25
2520,2325082,9295,5293,6.16,1.1
2521,2325205,8887,8833,1.36,3.03
2522,2325080,9294,7970,1.35,3.03
2523,2325083,7490,9307,1.57,2.3
2524,2325206,8833,8887,2.87,1.4
2525,2325207,8668,6379,1.09,6.14
2526,2325209,5293,9297,1.5,2.5
2527,2325208,6379,8668,6.35,1.09
2528,2325210,9297,5293,4.45,1.32
2529,2325219,8369,7234,1.78,1.97
2530,2325220,5946,8248,4.33,1.19
2531,2325178,6855,8068,2.22,1.65
2532,2325215,7898,7489,1.44,2.71
2533,2325223,8305,8120,3.29,1.31
2534,2325174,4869,8504,1.09,4.38
2535,2325192,6343,4688,1.43,2.72
2536,2325222,9283,9173,3.57,1.26
2537,2325193,8846,7169,1.67,2.07
2538,2325225,9193,9055,1.2,4.18
2539,2325171,5929,7701,1.46,2.65
2540,2325194,6343,7169,1.55,2.38
2541,2325216,8111,8730,1.39,2.86
2542,2325224,8305,7820,1.97,1.79
2543,2325175,7865,8485,1.09,6.32
2544,2325227,6615,6343,1.29,3.73
2545,2325145,8574,8902,1.4,2.85
2546,2325228,8825,9305,1.25,3.42
2547,2325143,7653,9265,1.58,2.32
2548,2325160,7567,6651,4.4,1.19
2549,2325230,8504,8485,1.19,4.5
2550,2325235,5946,8369,3.92,1.28
2551,2325233,9183,7898,2.0,1.8
2552,2325247,9227,9308,1.04,8.1
2553,2325248,9309,9316,1.5,2.42
2554,2325249,8880,9310,1.05,7.81
2555,2325250,9311,9312,3.1,1.32
2556,2325251,9161,8155,1.06,7.54
2557,2325252,7640,7721,1.77,1.95
2558,2325253,7726,9313,1.05,7.66
2559,2325254,9314,9315,2.49,1.48
2560,2325256,9227,9316,1.04,8.11
2561,2325257,9308,9309,2.87,1.37
2562,2325258,8880,9312,1.03,9.42
2563,2325259,9310,9311,2.74,1.42
2564,2325260,9161,7721,1.03,9.25
2565,2325261,8155,7640,2.6,1.44
2566,2325262,7726,9315,1.05,7.88
2567,2325263,9313,9314,2.22,1.59
2568,2325229,4869,7865,1.19,4.39
2569,2325231,9055,8120,4.21,1.24
2570,2325253,7726,9313,1.05,7.66
2571,2325187,8769,7169,1.54,2.4
2572,2325232,9055,8589,1.81,1.94
2573,2325239,8813,7124,2.32,1.61
2574,2325240,5639,7552,1.48,2.56
2575,2325263,9313,9314,2.2,1.6
2576,2325195,4688,8769,2.53,1.49
2577,2325226,8305,7472,1.24,3.77
2578,2325255,6855,8637,2.03,1.78
2579,2325241,7124,7552,2.0,1.72
2580,2325242,8813,5639,2.35,1.49
2581,2325236,6417,6420,1.38,2.74
2582,2325196,4688,7169,2.16,1.65
2583,2325269,5670,9318,1.05,7.76
2584,2325270,8635,9317,1.04,8.36
2585,2325272,9319,9320,1.5,2.41
2586,2325273,8700,9324,1.01,10.99
2587,2325274,9322,9323,1.6,2.19
2588,2325275,9306,9326,1.3,3.2
2589,2325276,6019,9325,1.4,2.72
2590,2325271,9228,9321,1.03,9.07
2591,2325237,6419,6417,3.93,1.2
2592,2325238,6418,6417,1.64,2.12
2593,2325161,4863,5378,1.6,2.26
2594,2325234,8135,9193,1.61,2.26
